epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,206.317,2.27145,1.66354,1.23825,0.24052,0.1768,0.10608,0.03755,2.66239,2.39306,1.69869,0.000260174,0.000260174,0.000260174
89,208.107,2.22836,1.6023,1.25445,0.24971,0.18232,0.10794,0.03789,2.66664,2.38554,1.70971,0.000240176,0.000240176,0.000240176
90,209.836,2.35713,1.63392,1.25832,0.24425,0.17321,0.10892,0.03725,2.69747,2.40696,1.72222,0.000220178,0.000220178,0.000220178
91,213.579,2.27024,1.68124,1.29543,0.24424,0.16022,0.10301,0.03492,2.70547,2.41256,1.73647,0.00020018,0.00020018,0.00020018
92,215.593,2.29314,1.66394,1.27203,0.21124,0.16575,0.09887,0.03347,2.70297,2.44774,1.71705,0.000180182,0.000180182,0.000180182
93,217.406,2.27781,1.60906,1.25098,0.20793,0.16022,0.0948,0.03008,2.71471,2.46603,1.71234,0.000160184,0.000160184,0.000160184
94,219.254,2.28806,1.67977,1.26013,0.21984,0.16022,0.09426,0.03074,2.70189,2.47058,1.70261,0.000140186,0.000140186,0.000140186
95,221.113,2.27463,1.67296,1.26616,0.20998,0.16575,0.09702,0.03154,2.70258,2.45916,1.70742,0.000120188,0.000120188,0.000120188
96,222.875,2.29688,1.68132,1.30314,0.22508,0.17127,0.10367,0.03378,2.68613,2.42864,1.71034,0.00010019,0.00010019,0.00010019
97,224.761,2.27703,1.57233,1.26413,0.23388,0.17127,0.10538,0.03511,2.68791,2.40288,1.71487,8.0192e-05,8.0192e-05,8.0192e-05
